City,Date,Level,Path
"London, England","2020/04/02","0.7933579681775882","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T114350_20200402T114850_12798_01_010302_20200402T123519.nc"
"Los Angelos, California","2020/04/01","0.3868730937028886","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T202850_20200401T203350_12789_01_010302_20200401T210934.nc"
"London, England","2020/04/02","0.8728675802558428","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T132850_20200402T133350_12799_01_010302_20200402T140906.nc"
"Chicago, Illinois","2020/03/29","0.35184692023904063","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T194350_20200329T194850_12746_01_010302_20200329T202321.nc"
"Atlanta, Georgia","2020/03/29","1.0864119467441924","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T194350_20200329T194850_12746_01_010302_20200329T202321.nc"
"Houston, Texas","2020/03/29","0.48259756113111507","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T194350_20200329T194850_12746_01_010302_20200329T202321.nc"
"Chicago, Illinois","2020/03/30","0.3029322842849069","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T192350_20200330T192850_12760_01_010302_20200330T200524.nc"
"Atlanta, Georgia","2020/03/30","0.6736581617587944","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T192350_20200330T192850_12760_01_010302_20200330T200524.nc"
"Houston, Texas","2020/03/30","0.6511375704576494","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T192350_20200330T192850_12760_01_010302_20200330T200524.nc"
"Chicago, Illinois","2020/04/01","0.4428620741236955","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T184850_20200401T185350_12788_01_010302_20200401T204907.nc"
"New York City, New York","2020/04/01","0.3558855105438852","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200401T184850_20200401T185350_12788_01_010302_20200401T204907.nc"
"Berlin, Germany","2020/03/29","0.544578152585018","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T130350_20200329T130850_12742_01_010302_20200329T134705.nc"
"London, England","2020/03/29","0.242886514570273","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T130350_20200329T130850_12742_01_010302_20200329T134705.nc"
"Paris, France","2020/04/02","0.5220608309173258","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T132350_20200402T132850_12799_01_010302_20200402T140810.nc"
